site_name,domain,code,network,enabled,priority,main_api
JapanHDV,japanhdv.com,,JapanHDV Network,TRUE,100,https://japanhdv.com
Baberotica,baberotica.com,,JapanHDV Network,TRUE,90,
Tenshigao,tenshigao.com,,JapanHDV Network,TRUE,90,
AVJiali,avjiali.com,,JapanHDV Network,TRUE,90,
AvidolZ,avidolz.com,,JapanHDV Network,TRUE,90,
Hamezo,hamezo.com,,JapanHDV Network,TRUE,90,
NuCosplay,nucosplay.com,,JapanHDV Network,TRUE,90,
BaberoticaVR,baberoticavr.com,,JapanHDV Network,TRUE,85,
TeenThais,teenthais.com,,JapanHDV Network,TRUE,85,
SuckMeVR,suckmevr.com,,JapanHDV Network,TRUE,85,
VRPornpass,vrpornpass.com,,JapanHDV Network,TRUE,85,
HD-access,hd-access.com,,JapanHDV Network,TRUE,85,
